"","index","value"
"1",1,53
"2",2,48
"3",3,51
"4",4,48
"5",5,50
"6",6,53
"7",7,52
"8",8,51
"9",9,51
"10",10,48
"11",11,49
"12",12,54
"13",13,48
"14",14,50
"15",15,52
"16",16,50
"17",17,55
"18",18,52
"19",19,49
"20",20,53
"21",21,49
"22",22,46
"23",23,48
"24",24,51
"25",25,44
"26",26,51
"27",27,49
"28",28,50
"29",29,53
"30",30,51
"31",31,49
"32",32,50
"33",33,52
"34",34,49
"35",35,53
"36",36,52
"37",37,47
"38",38,51
"39",39,47
"40",40,46
"41",41,48
"42",42,49
"43",43,53
"44",44,54
"45",45,48
"46",46,51
"47",47,47
"48",48,52
"49",49,53
"50",50,52
"51",51,55
"52",52,51
"53",53,48
"54",54,47
"55",55,46
"56",56,51
"57",57,51
"58",58,48
"59",59,49
"60",60,53
"61",61,50
"62",62,51
"63",63,51
"64",64,47
"65",65,54
"66",66,53
"67",67,51
"68",68,50
"69",69,51
"70",70,52
"71",71,48
"72",72,47
"73",73,50
"74",74,54
"75",75,51
"76",76,55
"77",77,49
"78",78,50
"79",79,48
"80",80,50
"81",81,51
"82",82,47
"83",83,51
"84",84,51
"85",85,50
"86",86,52
"87",87,50
"88",88,49
"89",89,49
"90",90,50
"91",91,49
"92",92,51
"93",93,50
"94",94,53
"95",95,49
"96",96,48
"97",97,50
"98",98,51
"99",99,52
"100",100,54
