"","index","value"
"1",1,50
"2",2,44
"3",3,45
"4",4,49
"5",5,50
"6",6,50
"7",7,43
"8",8,48
"9",9,43
"10",10,45
"11",11,43
"12",12,39
"13",13,42
"14",14,42
"15",15,26
"16",16,42
"17",17,40
"18",18,39
"19",19,35
"20",20,37
"21",21,37
"22",22,37
"23",23,35
"24",24,32
"25",25,32
"26",26,31
"27",27,35
"28",28,31
"29",29,26
"30",30,26
"31",31,32
"32",32,28
"33",33,28
"34",34,29
"35",35,27
"36",36,23
"37",37,26
"38",38,25
"39",39,24
"40",40,23
"41",41,24
"42",42,21
"43",43,21
"44",44,23
"45",45,20
"46",46,18
"47",47,15
"48",48,14
"49",49,11
"50",50,17
"51",51,13
"52",52,14
"53",53,19
"54",54,19
"55",55,13
"56",56,16
"57",57,19
"58",58,20
"59",59,14
"60",60,27
"61",61,21
"62",62,23
"63",63,23
"64",64,20
"65",65,25
"66",66,25
"67",67,26
"68",68,24
"69",69,27
"70",70,23
"71",71,26
"72",72,26
"73",73,27
"74",74,29
"75",75,29
"76",76,29
"77",77,32
"78",78,35
"79",79,29
"80",80,31
"81",81,35
"82",82,30
"83",83,35
"84",84,34
"85",85,29
"86",86,33
"87",87,37
"88",88,36
"89",89,32
"90",90,40
"91",91,41
"92",92,41
"93",93,37
"94",94,40
"95",95,39
"96",96,42
"97",97,44
"98",98,42
"99",99,41
"100",100,42
