index,value
1,50
2,52
3,53
4,54
5,55
6,57
7,57
8,58
9,59
10,59
11,60
12,60
13,61
14,61
15,60
16,60
17,59
18,59
19,58
20,57
21,57
22,55
23,54
24,53
25,51
26,50
27,48
28,47
29,46
30,45
31,44
32,43
33,42
34,41
35,41
36,40
37,40
38,39
39,39
40,39
41,39
42,39
43,40
44,40
45,41
46,41
47,43
48,44
49,45
50,47
51,48
52,48
53,50
54,50
55,52
56,53
57,54
58,54
59,55
60,55
61,56
62,56
63,57
64,57
65,57
66,57
67,56
68,55
69,55
70,54
71,53
72,51
73,50
74,49
75,48
76,47
77,46
78,45
79,44
80,42
81,41
82,40
83,39
84,38
85,38
86,38
87,37
88,37
89,37
90,38
91,39
92,39
93,40
94,40
95,41
96,42
97,43
98,44
99,45
100,46
101,48
102,49
103,50
104,52
105,53
106,53
107,55
108,56
109,56
110,57
111,58
112,58
113,58
114,58
115,57
116,57
117,57
118,56
119,54
120,54
121,53
122,52
123,51
124,50
125,49
126,48
127,47
128,46
129,45
130,44
131,43
132,42
133,41
134,40
135,40
136,39
137,39
138,39
139,39
140,39
141,39
142,40
143,40
144,41
145,42
146,43
147,44
148,45
149,47
150,48
151,49
152,50
153,51
154,52
155,53
156,54
157,55
158,56
159,57
160,57
161,58
162,58
163,58
164,58
165,58
166,58
167,58
168,57
169,57
170,56
171,55
172,54
173,53
174,52
175,50
176,49
177,48
178,46
179,45
180,44
181,43
182,42
183,41
184,40
185,39
186,38
187,38
188,37
189,37
190,37
191,38
192,38
193,39
194,39
195,40
196,41
197,42
198,44
199,45
200,46
