"","index","value"
"1",1,48
"2",2,46
"3",3,48
"4",4,51
"5",5,50
"6",6,48
"7",7,50
"8",8,52
"9",9,48
"10",10,53
"11",11,53
"12",12,45
"13",13,51
"14",14,49
"15",15,51
"16",16,49
"17",17,51
"18",18,53
"19",19,55
"20",20,52
"21",21,50
"22",22,52
"23",23,45
"24",24,52
"25",25,52
"26",26,54
"27",27,49
"28",28,56
"29",29,51
"30",30,50
"31",31,52
"32",32,51
"33",33,51
"34",34,49
"35",35,51
"36",36,53
"37",37,48
"38",38,50
"39",39,51
"40",40,56
"41",41,52
"42",42,53
"43",43,45
"44",44,50
"45",45,52
"46",46,46
"47",47,51
"48",48,53
"49",49,52
"50",50,50
"51",51,50
"52",52,52
"53",53,53
"54",54,51
"55",55,50
"56",56,49
"57",57,51
"58",58,52
"59",59,50
"60",60,46
"61",61,49
"62",62,50
"63",63,49
"64",64,52
"65",65,49
"66",66,52
"67",67,56
"68",68,51
"69",69,47
"70",70,47
"71",71,50
"72",72,45
"73",73,52
"74",74,51
"75",75,49
"76",76,49
"77",77,49
"78",78,47
"79",79,51
"80",80,52
"81",81,52
"82",82,51
"83",83,48
"84",84,51
"85",85,49
"86",86,49
"87",87,51
"88",88,49
"89",89,50
"90",90,49
"91",91,47
"92",92,47
"93",93,50
"94",94,49
"95",95,49
"96",96,51
"97",97,53
"98",98,53
"99",99,49
"100",100,50
