index,value
1,43
2,43
3,58
4,67
5,62
6,40
7,37
8,53
9,43
10,39
11,67
12,59
13,48
14,62
15,70
16,44
17,61
18,69
19,35
20,51
21,73
22,54
23,73
24,58
25,44
26,79
27,51
28,42
29,35
30,41
31,55
32,56
33,65
34,56
35,40
36,39
37,60
38,32
39,50
40,52
41,41
42,61
43,66
44,45
45,61
46,33
47,42
48,36
49,53
50,63
51,60
52,28
53,39
54,22
55,32
56,48
57,33
58,65
59,48
60,37
61,32
62,37
63,48
64,40
65,53
66,35
67,51
68,36
69,61
70,58
71,34
72,62
73,42
74,58
75,42
76,21
77,62
78,36
79,35
80,59
81,32
82,72
83,40
84,29
85,37
86,60
87,48
88,60
89,57
90,79
91,34
92,36
93,56
94,63
95,37
96,51
97,62
98,46
99,50
100,61
101,34
102,36
103,78
104,70
105,58
106,64
107,53
108,50
109,60
110,43
111,70
112,66
113,41
114,40
115,63
116,44
117,47
118,75
119,33
120,63
121,38
122,52
123,44
124,64
125,38
126,49
127,36
128,74
129,59
130,24
131,50
132,57
133,28
134,63
135,42
136,31
137,32
138,55
139,32
140,34
141,55
142,49
143,38
144,73
145,34
146,40
147,67
148,46
149,61
150,41
151,44
152,64
153,41
154,58
155,43
156,41
157,55
158,45
159,63
160,45
161,63
162,63
163,40
164,65
165,30
166,62
167,47
168,67
169,72
170,50
171,32
172,36
173,42
174,45
175,62
176,51
177,25
178,34
179,49
180,36
181,22
182,41
183,37
184,59
185,67
186,26
187,49
188,68
189,41
190,57
191,47
192,65
193,79
194,26
195,26
196,54
197,73
198,51
199,61
200,39
