"","index","value"
"1",1,48
"2",2,52
"3",3,55
"4",4,53
"5",5,47
"6",6,47
"7",7,51
"8",8,48
"9",9,53
"10",10,53
"11",11,50
"12",12,54
"13",13,49
"14",14,46
"15",15,51
"16",16,52
"17",17,47
"18",18,51
"19",19,49
"20",20,52
"21",21,50
"22",22,52
"23",23,51
"24",24,49
"25",25,46
"26",26,49
"27",27,54
"28",28,56
"29",29,53
"30",30,49
"31",31,51
"32",32,52
"33",33,52
"34",34,52
"35",35,53
"36",36,49
"37",37,49
"38",38,50
"39",39,49
"40",40,51
"41",41,47
"42",42,45
"43",43,49
"44",44,47
"45",45,51
"46",46,50
"47",47,51
"48",48,51
"49",49,51
"50",50,51
"51",51,49
"52",52,49
"53",53,46
"54",54,45
"55",55,52
"56",56,49
"57",57,53
"58",58,50
"59",59,51
"60",60,44
"61",61,47
"62",62,51
"63",63,51
"64",64,52
"65",65,48
"66",66,49
"67",67,51
"68",68,51
"69",69,50
"70",70,47
"71",71,46
"72",72,50
"73",73,47
"74",74,49
"75",75,51
"76",76,46
"77",77,52
"78",78,49
"79",79,47
"80",80,45
"81",81,54
"82",82,43
"83",83,53
"84",84,47
"85",85,51
"86",86,47
"87",87,52
"88",88,48
"89",89,51
"90",90,45
"91",91,51
"92",92,52
"93",93,51
"94",94,53
"95",95,48
"96",96,54
"97",97,52
"98",98,48
"99",99,47
"100",100,52
