"","index","value"
"1",1,48
"2",2,47
"3",3,49
"4",4,52
"5",5,49
"6",6,43
"7",7,46
"8",8,50
"9",9,54
"10",10,49
"11",11,52
"12",12,47
"13",13,47
"14",14,53
"15",15,47
"16",16,50
"17",17,51
"18",18,52
"19",19,51
"20",20,53
"21",21,51
"22",22,50
"23",23,55
"24",24,50
"25",25,48
"26",26,51
"27",27,53
"28",28,52
"29",29,46
"30",30,43
"31",31,54
"32",32,51
"33",33,48
"34",34,50
"35",35,54
"36",36,48
"37",37,51
"38",38,50
"39",39,46
"40",40,49
"41",41,53
"42",42,47
"43",43,49
"44",44,51
"45",45,51
"46",46,55
"47",47,50
"48",48,50
"49",49,50
"50",50,47
"51",51,48
"52",52,54
"53",53,46
"54",54,47
"55",55,53
"56",56,52
"57",57,45
"58",58,50
"59",59,46
"60",60,51
"61",61,52
"62",62,52
"63",63,52
"64",64,47
"65",65,51
"66",66,56
"67",67,51
"68",68,48
"69",69,48
"70",70,50
"71",71,50
"72",72,47
"73",73,44
"74",74,53
"75",75,45
"76",76,50
"77",77,53
"78",78,48
"79",79,51
"80",80,53
"81",81,49
"82",82,51
"83",83,52
"84",84,50
"85",85,50
"86",86,50
"87",87,50
"88",88,48
"89",89,48
"90",90,49
"91",91,53
"92",92,45
"93",93,50
"94",94,52
"95",95,48
"96",96,45
"97",97,50
"98",98,49
"99",99,55
"100",100,50
