"","index","value"
"1",1,47
"2",2,49
"3",3,47
"4",4,47
"5",5,51
"6",6,52
"7",7,56
"8",8,45
"9",9,51
"10",10,48
"11",11,55
"12",12,51
"13",13,48
"14",14,49
"15",15,28
"16",16,54
"17",17,55
"18",18,52
"19",19,49
"20",20,50
"21",21,49
"22",22,46
"23",23,53
"24",24,48
"25",25,47
"26",26,49
"27",27,49
"28",28,48
"29",29,51
"30",30,52
"31",31,42
"32",32,51
"33",33,48
"34",34,53
"35",35,48
"36",36,49
"37",37,49
"38",38,51
"39",39,45
"40",40,54
"41",41,48
"42",42,52
"43",43,53
"44",44,57
"45",45,46
"46",46,48
"47",47,48
"48",48,49
"49",49,50
"50",50,53
"51",51,45
"52",52,51
"53",53,50
"54",54,47
"55",55,48
"56",56,48
"57",57,55
"58",58,50
"59",59,50
"60",60,51
"61",61,52
"62",62,50
"63",63,54
"64",64,51
"65",65,48
"66",66,49
"67",67,52
"68",68,53
"69",69,52
"70",70,50
"71",71,49
"72",72,44
"73",73,47
"74",74,44
"75",75,53
"76",76,50
"77",77,51
"78",78,53
"79",79,48
"80",80,54
"81",81,50
"82",82,52
"83",83,50
"84",84,50
"85",85,51
"86",86,53
"87",87,49
"88",88,47
"89",89,54
"90",90,49
"91",91,49
"92",92,49
"93",93,53
"94",94,50
"95",95,49
"96",96,49
"97",97,47
"98",98,51
"99",99,51
"100",100,52
