"","index","value"
"1",1,48
"2",2,49
"3",3,49
"4",4,53
"5",5,49
"6",6,53
"7",7,52
"8",8,53
"9",9,51
"10",10,52
"11",11,46
"12",12,52
"13",13,48
"14",14,52
"15",15,51
"16",16,51
"17",17,49
"18",18,52
"19",19,53
"20",20,50
"21",21,48
"22",22,49
"23",23,50
"24",24,49
"25",25,53
"26",26,46
"27",27,50
"28",28,49
"29",29,48
"30",30,49
"31",31,51
"32",32,50
"33",33,48
"34",34,44
"35",35,45
"36",36,51
"37",37,49
"38",38,46
"39",39,46
"40",40,47
"41",41,49
"42",42,56
"43",43,52
"44",44,48
"45",45,49
"46",46,48
"47",47,50
"48",48,53
"49",49,48
"50",50,53
"51",51,50
"52",52,51
"53",53,51
"54",54,53
"55",55,48
"56",56,51
"57",57,51
"58",58,50
"59",59,52
"60",60,49
"61",61,51
"62",62,51
"63",63,49
"64",64,52
"65",65,54
"66",66,46
"67",67,49
"68",68,54
"69",69,49
"70",70,51
"71",71,46
"72",72,54
"73",73,51
"74",74,52
"75",75,51
"76",76,54
"77",77,47
"78",78,46
"79",79,55
"80",80,44
"81",81,48
"82",82,50
"83",83,47
"84",84,47
"85",85,46
"86",86,52
"87",87,53
"88",88,49
"89",89,48
"90",90,49
"91",91,49
"92",92,47
"93",93,51
"94",94,53
"95",95,52
"96",96,52
"97",97,49
"98",98,46
"99",99,49
"100",100,50
