index,value,facet,last,top5,bot5,thresholdGroup,peak,currentValue,slope,thresholdGroupCurrent
1,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
2,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
3,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
4,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
5,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
6,50,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
7,53,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
8,47,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
9,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
10,53,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
11,50,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
12,53,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
13,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
14,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
15,54,Machine 11,0,4,0,3,0,48,0.0012338326147826,3
16,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
17,50,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
18,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
19,46,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
20,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
21,55,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
22,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
23,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
24,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
25,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
26,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
27,47,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
28,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
29,53,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
30,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
31,50,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
32,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
33,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
34,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
35,53,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
36,46,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
37,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
38,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
39,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
40,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
41,50,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
42,45,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
43,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
44,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
45,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
46,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
47,47,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
48,50,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
49,54,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
50,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
51,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
52,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
53,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
54,45,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
55,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
56,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
57,45,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
58,53,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
59,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
60,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
61,52,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
62,53,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
63,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
64,49,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
65,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
66,47,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
67,47,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
68,50,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
69,48,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
70,51,Machine 11,0,0,0,3,0,48,0.0012338326147826,3
