"","index","value"
"1",1,53
"2",2,49
"3",3,47
"4",4,48
"5",5,50
"6",6,52
"7",7,52
"8",8,49
"9",9,47
"10",10,49
"11",11,51
"12",12,54
"13",13,49
"14",14,49
"15",15,49
"16",16,48
"17",17,49
"18",18,50
"19",19,46
"20",20,48
"21",21,52
"22",22,50
"23",23,49
"24",24,52
"25",25,50
"26",26,51
"27",27,50
"28",28,48
"29",29,46
"30",30,48
"31",31,48
"32",32,55
"33",33,53
"34",34,50
"35",35,50
"36",36,52
"37",37,47
"38",38,48
"39",39,47
"40",40,50
"41",41,49
"42",42,52
"43",43,53
"44",44,50
"45",45,48
"46",46,50
"47",47,52
"48",48,48
"49",49,52
"50",50,52
"51",51,48
"52",52,53
"53",53,52
"54",54,44
"55",55,51
"56",56,53
"57",57,49
"58",58,48
"59",59,48
"60",60,50
"61",61,53
"62",62,46
"63",63,48
"64",64,48
"65",65,54
"66",66,52
"67",67,41
"68",68,48
"69",69,49
"70",70,52
"71",71,51
"72",72,47
"73",73,49
"74",74,51
"75",75,49
"76",76,49
"77",77,49
"78",78,49
"79",79,50
"80",80,47
"81",81,47
"82",82,46
"83",83,48
"84",84,46
"85",85,52
"86",86,57
"87",87,52
"88",88,51
"89",89,49
"90",90,49
"91",91,46
"92",92,52
"93",93,50
"94",94,50
"95",95,49
"96",96,50
"97",97,49
"98",98,53
"99",99,48
"100",100,54
