"","index","value"
"1",1,52
"2",2,52
"3",3,49
"4",4,48
"5",5,52
"6",6,50
"7",7,50
"8",8,52
"9",9,53
"10",10,49
"11",11,48
"12",12,51
"13",13,45
"14",14,47
"15",15,49
"16",16,51
"17",17,54
"18",18,51
"19",19,50
"20",20,50
"21",21,54
"22",22,51
"23",23,52
"24",24,52
"25",25,49
"26",26,46
"27",27,54
"28",28,52
"29",29,50
"30",30,52
"31",31,52
"32",32,55
"33",33,48
"34",34,48
"35",35,50
"36",36,47
"37",37,50
"38",38,50
"39",39,49
"40",40,54
"41",41,46
"42",42,50
"43",43,52
"44",44,47
"45",45,51
"46",46,50
"47",47,51
"48",48,55
"49",49,45
"50",50,49
"51",51,47
"52",52,50
"53",53,49
"54",54,51
"55",55,53
"56",56,51
"57",57,52
"58",58,47
"59",59,48
"60",60,54
"61",61,52
"62",62,48
"63",63,52
"64",64,51
"65",65,55
"66",66,50
"67",67,51
"68",68,48
"69",69,55
"70",70,49
"71",71,50
"72",72,55
"73",73,49
"74",74,50
"75",75,54
"76",76,48
"77",77,52
"78",78,48
"79",79,50
"80",80,50
"81",81,49
"82",82,55
"83",83,51
"84",84,46
"85",85,49
"86",86,46
"87",87,50
"88",88,47
"89",89,47
"90",90,51
"91",91,49
"92",92,50
"93",93,51
"94",94,52
"95",95,48
"96",96,51
"97",97,53
"98",98,50
"99",99,47
"100",100,50
