index,value
1,35
2,49
3,75
4,32
5,58
6,41
7,48
8,65
9,44
10,55
11,55
12,59
13,80
14,40
15,50
16,52
17,35
18,43
19,34
20,30
21,46
22,71
23,44
24,69
25,55
26,75
27,49
28,69
29,35
30,62
31,52
32,60
33,30
34,41
35,61
36,44
37,72
38,43
39,58
40,47
41,63
42,37
43,38
44,37
45,49
46,60
47,61
48,70
49,47
50,57
51,39
52,27
53,68
54,32
55,47
56,37
57,41
58,44
59,39
60,34
61,42
62,48
63,53
64,63
65,41
66,28
67,28
68,39
69,65
70,35
71,45
72,40
73,60
74,64
75,43
76,64
77,44
78,63
79,25
80,48
81,30
82,35
83,45
84,66
85,45
86,73
87,77
88,57
89,49
90,36
91,34
92,67
93,61
94,63
95,32
96,41
97,44
98,47
99,47
100,60
101,39
102,63
103,41
104,51
105,32
106,68
107,40
108,38
109,32
110,62
111,28
112,42
113,48
114,64
115,50
116,22
117,51
118,28
119,24
120,61
121,30
122,49
123,47
124,50
125,58
126,36
127,44
128,73
129,42
130,33
131,35
132,74
133,53
134,56
135,57
136,46
137,65
138,45
139,58
140,65
141,43
142,53
143,63
144,44
145,44
146,54
147,73
148,24
149,60
150,38
151,33
152,62
153,48
154,52
155,46
156,68
157,37
158,51
159,62
160,37
161,42
162,40
163,25
164,45
165,38
166,72
167,28
168,39
169,46
170,33
171,59
172,38
173,49
174,44
175,63
176,25
177,46
178,55
179,70
180,72
181,51
182,57
183,56
184,25
185,48
186,35
187,26
188,66
189,57
190,51
191,38
192,58
193,60
194,58
195,45
196,57
197,29
198,58
199,56
200,52
