"","index","value"
"1",1,48
"2",2,51
"3",3,52
"4",4,49
"5",5,50
"6",6,50
"7",7,53
"8",8,50
"9",9,57
"10",10,44
"11",11,54
"12",12,53
"13",13,46
"14",14,49
"15",15,47
"16",16,50
"17",17,50
"18",18,51
"19",19,49
"20",20,54
"21",21,52
"22",22,50
"23",23,54
"24",24,47
"25",25,49
"26",26,50
"27",27,53
"28",28,48
"29",29,54
"30",30,50
"31",31,52
"32",32,48
"33",33,50
"34",34,54
"35",35,56
"36",36,50
"37",37,49
"38",38,50
"39",39,48
"40",40,52
"41",41,49
"42",42,51
"43",43,50
"44",44,52
"45",45,47
"46",46,47
"47",47,53
"48",48,46
"49",49,51
"50",50,49
"51",51,53
"52",52,47
"53",53,51
"54",54,52
"55",55,54
"56",56,53
"57",57,53
"58",58,55
"59",59,54
"60",60,53
"61",61,48
"62",62,51
"63",63,52
"64",64,55
"65",65,50
"66",66,49
"67",67,49
"68",68,50
"69",69,55
"70",70,50
"71",71,52
"72",72,53
"73",73,46
"74",74,48
"75",75,51
"76",76,49
"77",77,47
"78",78,56
"79",79,53
"80",80,49
"81",81,49
"82",82,52
"83",83,49
"84",84,47
"85",85,50
"86",86,47
"87",87,47
"88",88,48
"89",89,49
"90",90,49
"91",91,48
"92",92,52
"93",93,47
"94",94,48
"95",95,49
"96",96,44
"97",97,51
"98",98,53
"99",99,54
"100",100,52
