"","index","value"
"1",1,47
"2",2,55
"3",3,55
"4",4,50
"5",5,55
"6",6,47
"7",7,51
"8",8,51
"9",9,48
"10",10,50
"11",11,48
"12",12,52
"13",13,54
"14",14,50
"15",15,28
"16",16,46
"17",17,50
"18",18,50
"19",19,45
"20",20,53
"21",21,54
"22",22,51
"23",23,52
"24",24,53
"25",25,49
"26",26,48
"27",27,50
"28",28,52
"29",29,53
"30",30,49
"31",31,52
"32",32,50
"33",33,57
"34",34,51
"35",35,49
"36",36,51
"37",37,55
"38",38,48
"39",39,47
"40",40,49
"41",41,50
"42",42,51
"43",43,57
"44",44,52
"45",45,49
"46",46,49
"47",47,53
"48",48,48
"49",49,49
"50",50,51
"51",51,51
"52",52,50
"53",53,48
"54",54,49
"55",55,47
"56",56,51
"57",57,50
"58",58,51
"59",59,54
"60",60,46
"61",61,53
"62",62,47
"63",63,47
"64",64,51
"65",65,50
"66",66,46
"67",67,50
"68",68,49
"69",69,54
"70",70,45
"71",71,53
"72",72,55
"73",73,49
"74",74,49
"75",75,50
"76",76,52
"77",77,49
"78",78,51
"79",79,51
"80",80,52
"81",81,49
"82",82,50
"83",83,48
"84",84,50
"85",85,54
"86",86,50
"87",87,51
"88",88,46
"89",89,46
"90",90,48
"91",91,49
"92",92,52
"93",93,47
"94",94,44
"95",95,49
"96",96,50
"97",97,45
"98",98,50
"99",99,50
"100",100,51
