index,value
1,48
2,45
3,55
4,49
5,49
6,46
7,54
8,53
9,45
10,52
11,49
12,50
13,46
14,55
15,50
16,46
17,51
18,52
19,52
20,54
21,45
22,50
23,49
24,48
25,55
26,54
27,46
28,55
29,46
30,55
31,53
32,49
33,53
34,47
35,45
36,48
37,55
38,48
39,48
40,55
41,54
42,50
43,48
44,46
45,49
46,51
47,53
48,46
49,46
50,45
51,55
52,53
53,54
54,46
55,50
56,45
57,54
58,49
59,49
60,52
61,49
62,45
63,54
64,55
65,54
66,51
67,55
68,47
69,50
70,52
71,47
72,55
73,51
74,50
75,51
76,54
77,47
78,45
79,48
80,46
81,50
82,45
83,55
84,51
85,53
86,53
87,49
88,51
89,50
90,53
91,48
92,46
93,55
94,47
95,49
96,46
97,54
98,55
99,46
100,45
101,47
102,54
103,52
104,45
105,47
106,53
107,52
108,54
109,49
110,47
111,52
112,50
113,53
114,46
115,54
116,52
117,46
118,45
119,50
120,45
121,46
122,52
123,47
124,46
125,53
126,55
127,54
128,48
129,55
130,51
131,51
132,52
133,54
134,47
135,46
136,49
137,51
138,49
139,48
140,49
141,49
142,47
143,45
144,48
145,46
146,45
147,55
148,54
149,48
150,51
151,52
152,47
153,48
154,47
155,54
156,52
157,52
158,46
159,55
160,52
161,55
162,48
163,49
164,47
165,51
166,53
167,49
168,45
169,49
170,52
171,49
172,53
173,54
174,53
175,51
176,49
177,54
178,47
179,50
180,53
181,55
182,53
183,45
184,47
185,46
186,46
187,47
188,48
189,53
190,53
191,55
192,45
193,50
194,50
195,46
196,48
197,54
198,48
199,52
200,51
