"","index","value"
"1",1,52
"2",2,52
"3",3,50
"4",4,46
"5",5,54
"6",6,52
"7",7,50
"8",8,48
"9",9,47
"10",10,51
"11",11,52
"12",12,50
"13",13,45
"14",14,53
"15",15,49
"16",16,50
"17",17,50
"18",18,47
"19",19,54
"20",20,48
"21",21,49
"22",22,43
"23",23,52
"24",24,50
"25",25,46
"26",26,45
"27",27,49
"28",28,51
"29",29,47
"30",30,49
"31",31,12
"32",32,14
"33",33,16
"34",34,13
"35",35,14
"36",36,13
"37",37,13
"38",38,13
"39",39,10
"40",40,15
"41",41,48
"42",42,46
"43",43,49
"44",44,50
"45",45,53
"46",46,49
"47",47,51
"48",48,53
"49",49,53
"50",50,50
"51",51,47
"52",52,50
"53",53,49
"54",54,49
"55",55,49
"56",56,50
"57",57,48
"58",58,46
"59",59,51
"60",60,52
"61",61,51
"62",62,50
"63",63,50
"64",64,52
"65",65,51
"66",66,52
"67",67,52
"68",68,52
"69",69,51
"70",70,48
"71",71,44
"72",72,54
"73",73,49
"74",74,55
"75",75,46
"76",76,43
"77",77,50
"78",78,53
"79",79,50
"80",80,52
"81",81,50
"82",82,52
"83",83,49
"84",84,50
"85",85,49
"86",86,52
"87",87,48
"88",88,45
"89",89,49
"90",90,51
"91",91,52
"92",92,53
"93",93,50
"94",94,48
"95",95,52
"96",96,50
"97",97,52
"98",98,47
"99",99,50
"100",100,49
