"","index","value"
"1",1,52
"2",2,48
"3",3,52
"4",4,50
"5",5,50
"6",6,50
"7",7,49
"8",8,45
"9",9,53
"10",10,52
"11",11,48
"12",12,48
"13",13,51
"14",14,50
"15",15,72
"16",16,52
"17",17,50
"18",18,52
"19",19,52
"20",20,52
"21",21,45
"22",22,51
"23",23,46
"24",24,47
"25",25,51
"26",26,50
"27",27,51
"28",28,55
"29",29,51
"30",30,52
"31",31,49
"32",32,54
"33",33,52
"34",34,51
"35",35,48
"36",36,53
"37",37,52
"38",38,50
"39",39,51
"40",40,48
"41",41,50
"42",42,51
"43",43,49
"44",44,50
"45",45,55
"46",46,96
"47",47,96
"48",48,88
"49",49,96
"50",50,90
"51",51,87
"52",52,96
"53",53,88
"54",54,96
"55",55,90
"56",56,47
"57",57,49
"58",58,51
"59",59,48
"60",60,45
"61",61,46
"62",62,47
"63",63,48
"64",64,50
"65",65,46
"66",66,48
"67",67,47
"68",68,48
"69",69,53
"70",70,55
"71",71,50
"72",72,47
"73",73,47
"74",74,50
"75",75,52
"76",76,46
"77",77,50
"78",78,53
"79",79,46
"80",80,55
"81",81,52
"82",82,51
"83",83,53
"84",84,44
"85",85,48
"86",86,49
"87",87,50
"88",88,50
"89",89,51
"90",90,49
"91",91,47
"92",92,49
"93",93,48
"94",94,53
"95",95,49
"96",96,48
"97",97,51
"98",98,47
"99",99,48
"100",100,50
