"","index","value"
"1",1,53
"2",2,47
"3",3,52
"4",4,50
"5",5,46
"6",6,46
"7",7,54
"8",8,47
"9",9,47
"10",10,53
"11",11,52
"12",12,52
"13",13,54
"14",14,52
"15",15,29
"16",16,51
"17",17,54
"18",18,51
"19",19,51
"20",20,52
"21",21,47
"22",22,49
"23",23,47
"24",24,52
"25",25,54
"26",26,53
"27",27,46
"28",28,52
"29",29,44
"30",30,46
"31",31,54
"32",32,52
"33",33,49
"34",34,48
"35",35,48
"36",36,51
"37",37,52
"38",38,53
"39",39,51
"40",40,52
"41",41,47
"42",42,48
"43",43,54
"44",44,50
"45",45,47
"46",46,45
"47",47,51
"48",48,50
"49",49,49
"50",50,52
"51",51,52
"52",52,48
"53",53,52
"54",54,51
"55",55,50
"56",56,49
"57",57,53
"58",58,49
"59",59,50
"60",60,53
"61",61,49
"62",62,47
"63",63,49
"64",64,52
"65",65,51
"66",66,50
"67",67,52
"68",68,50
"69",69,48
"70",70,50
"71",71,50
"72",72,50
"73",73,47
"74",74,48
"75",75,56
"76",76,46
"77",77,49
"78",78,54
"79",79,50
"80",80,50
"81",81,49
"82",82,51
"83",83,51
"84",84,53
"85",85,52
"86",86,52
"87",87,52
"88",88,49
"89",89,51
"90",90,46
"91",91,49
"92",92,49
"93",93,49
"94",94,52
"95",95,49
"96",96,48
"97",97,47
"98",98,48
"99",99,52
"100",100,52
