index,value
1,5
2,6
3,8
4,9
5,9
6,10
7,12
8,10
9,11
10,9
11,9
12,8
13,10
14,9
15,8
16,9
17,10
18,10
19,11
20,14
21,15
22,15
23,17
24,18
25,18
26,19
27,20
28,20
29,18
30,18
31,18
32,17
33,19
34,17
35,18
36,17
37,18
38,17
39,20
40,22
41,22
42,25
43,26
44,26
45,28
46,31
47,29
48,30
49,27
50,28
51,28
52,27
53,26
54,25
55,25
56,28
57,27
58,28
59,30
60,31
61,32
62,36
63,33
64,36
65,36
66,38
67,38
68,39
69,36
70,37
71,36
72,36
73,35
74,37
75,36
76,37
77,38
78,37
79,38
80,39
81,42
82,43
83,43
84,45
85,47
86,47
87,46
88,47
89,47
90,46
91,46
92,43
93,45
94,44
95,44
96,44
97,47
98,47
99,49
100,48
101,50
102,52
103,51
104,53
105,55
106,57
107,58
108,54
109,55
110,56
111,54
112,54
113,52
114,53
115,53
116,55
117,53
118,56
119,56
120,57
121,61
122,60
123,63
124,64
125,64
126,63
127,65
128,64
129,66
130,62
131,62
132,64
133,63
134,61
135,61
136,64
137,63
138,66
139,64
140,69
141,69
142,70
143,74
144,74
145,73
146,73
147,75
148,73
149,75
150,73
151,73
152,71
153,70
154,71
155,71
156,73
157,73
158,73
159,75
160,78
161,79
162,78
163,80
164,79
165,83
166,81
167,84
168,82
169,79
170,83
171,83
172,81
173,82
174,79
175,80
176,80
177,83
178,82
179,86
180,87
181,88
182,89
183,89
184,91
185,90
186,91
187,92
188,91
189,91
190,88
191,91
192,89
193,90
194,89
195,92
196,91
197,92
198,93
199,92
200,95
