"","index","value"
"1",1,52
"2",2,50
"3",3,49
"4",4,50
"5",5,52
"6",6,50
"7",7,49
"8",8,54
"9",9,51
"10",10,56
"11",11,58
"12",12,52
"13",13,59
"14",14,58
"15",15,53
"16",16,56
"17",17,57
"18",18,64
"19",19,59
"20",20,60
"21",21,64
"22",22,60
"23",23,64
"24",24,56
"25",25,61
"26",26,62
"27",27,63
"28",28,62
"29",29,62
"30",30,66
"31",31,67
"32",32,68
"33",33,70
"34",34,68
"35",35,66
"36",36,64
"37",37,66
"38",38,72
"39",39,68
"40",40,72
"41",41,72
"42",42,72
"43",43,68
"44",44,68
"45",45,69
"46",46,76
"47",47,74
"48",48,72
"49",49,72
"50",50,74
"51",51,77
"52",52,70
"53",53,79
"54",54,76
"55",55,80
"56",56,80
"57",57,81
"58",58,82
"59",59,77
"60",60,82
"61",61,82
"62",62,78
"63",63,86
"64",64,84
"65",65,73
"66",66,78
"67",67,85
"68",68,88
"69",69,82
"70",70,84
"71",71,85
"72",72,84
"73",73,88
"74",74,86
"75",75,85
"76",76,88
"77",77,90
"78",78,91
"79",79,86
"80",80,86
"81",81,91
"82",82,NA
"83",83,NA
"84",84,NA
"85",85,NA
"86",86,NA
"87",87,NA
"88",88,NA
"89",89,NA
"90",90,NA
"91",91,NA
"92",92,NA
"93",93,NA
"94",94,NA
"95",95,NA
"96",96,NA
"97",97,NA
"98",98,NA
"99",99,NA
"100",100,NA
