"","index","value"
"1",1,52
"2",2,50
"3",3,53
"4",4,46
"5",5,50
"6",6,48
"7",7,51
"8",8,48
"9",9,49
"10",10,46
"11",11,48
"12",12,49
"13",13,50
"14",14,49
"15",15,51
"16",16,50
"17",17,54
"18",18,50
"19",19,50
"20",20,52
"21",21,48
"22",22,54
"23",23,49
"24",24,49
"25",25,50
"26",26,50
"27",27,50
"28",28,52
"29",29,53
"30",30,51
"31",31,49
"32",32,52
"33",33,50
"34",34,50
"35",35,48
"36",36,54
"37",37,51
"38",38,47
"39",39,52
"40",40,49
"41",41,51
"42",42,52
"43",43,49
"44",44,49
"45",45,49
"46",46,52
"47",47,47
"48",48,52
"49",49,52
"50",50,51
"51",51,49
"52",52,50
"53",53,50
"54",54,51
"55",55,49
"56",56,49
"57",57,53
"58",58,51
"59",59,52
"60",60,49
"61",61,52
"62",62,47
"63",63,48
"64",64,50
"65",65,45
"66",66,51
"67",67,49
"68",68,48
"69",69,51
"70",70,49
"71",71,51
"72",72,48
"73",73,49
"74",74,51
"75",75,47
"76",76,50
"77",77,53
"78",78,52
"79",79,51
"80",80,47
"81",81,50
"82",82,49
"83",83,49
"84",84,53
"85",85,48
"86",86,53
"87",87,53
"88",88,55
"89",89,55
"90",90,48
"91",91,50
"92",92,53
"93",93,56
"94",94,50
"95",95,46
"96",96,50
"97",97,47
"98",98,46
"99",99,52
"100",100,47
