"","index","value"
"1",1,47
"2",2,51
"3",3,50
"4",4,54
"5",5,54
"6",6,49
"7",7,48
"8",8,48
"9",9,43
"10",10,51
"11",11,49
"12",12,56
"13",13,53
"14",14,45
"15",15,71
"16",16,51
"17",17,48
"18",18,49
"19",19,46
"20",20,52
"21",21,51
"22",22,52
"23",23,50
"24",24,50
"25",25,50
"26",26,55
"27",27,52
"28",28,54
"29",29,44
"30",30,47
"31",31,51
"32",32,55
"33",33,53
"34",34,51
"35",35,48
"36",36,45
"37",37,53
"38",38,50
"39",39,49
"40",40,52
"41",41,49
"42",42,51
"43",43,49
"44",44,52
"45",45,51
"46",46,47
"47",47,52
"48",48,48
"49",49,49
"50",50,57
"51",51,46
"52",52,51
"53",53,48
"54",54,52
"55",55,51
"56",56,51
"57",57,51
"58",58,49
"59",59,53
"60",60,54
"61",61,50
"62",62,51
"63",63,49
"64",64,52
"65",65,50
"66",66,51
"67",67,51
"68",68,49
"69",69,50
"70",70,47
"71",71,45
"72",72,56
"73",73,52
"74",74,51
"75",75,51
"76",76,44
"77",77,90
"78",78,89
"79",79,95
"80",80,90
"81",81,95
"82",82,95
"83",83,90
"84",84,95
"85",85,95
"86",86,95
"87",87,52
"88",88,50
"89",89,51
"90",90,47
"91",91,54
"92",92,50
"93",93,53
"94",94,51
"95",95,46
"96",96,49
"97",97,51
"98",98,45
"99",99,49
"100",100,53
