index,value
1,55
2,58
3,47
4,56
5,76
6,65
7,77
8,57
9,55
10,63
11,71
12,72
13,85
14,65
15,81
16,72
17,83
18,41
19,60
20,56
21,59
22,59
23,77
24,16
25,37
26,66
27,56
28,33
29,15
30,60
31,15
32,31
33,59
34,30
35,52
36,15
37,30
38,49
39,39
40,45
41,35
42,47
43,44
44,55
45,49
46,57
47,64
48,72
49,80
50,69
51,55
52,37
53,57
54,79
55,56
56,71
57,61
58,70
59,77
60,34
61,51
62,35
63,15
64,53
65,50
66,18
67,52
68,37
69,56
70,41
71,15
72,27
73,15
74,35
75,19
76,31
77,19
78,20
79,59
80,46
81,44
82,79
83,24
84,27
85,37
86,36
87,85
88,67
89,68
90,68
91,37
92,46
93,81
94,56
95,85
96,60
97,85
98,44
99,58
100,42
101,51
102,41
103,51
104,63
105,43
106,61
107,15
108,15
109,48
110,29
111,20
112,22
113,15
114,47
115,30
116,49
117,57
118,29
119,33
120,68
121,43
122,54
123,72
124,58
125,62
126,65
127,80
128,39
129,82
130,84
131,61
132,76
133,52
134,57
135,64
136,67
137,29
138,85
139,47
140,58
141,37
142,46
143,24
144,47
145,20
146,35
147,26
148,37
149,24
150,15
151,30
152,33
153,54
154,15
155,44
156,31
157,15
158,39
159,44
160,49
161,80
162,15
163,39
164,56
165,58
166,82
167,78
168,66
169,85
170,63
171,85
172,85
173,73
174,85
175,52
176,72
177,85
178,65
179,64
180,82
181,33
182,49
183,46
184,40
185,30
186,28
187,40
188,37
189,18
190,29
191,18
192,26
193,37
194,39
195,15
196,28
197,58
198,22
199,48
200,22
