"","index","value"
"1",1,49
"2",2,52
"3",3,49
"4",4,49
"5",5,50
"6",6,51
"7",7,52
"8",8,50
"9",9,51
"10",10,51
"11",11,48
"12",12,54
"13",13,55
"14",14,44
"15",15,48
"16",16,53
"17",17,49
"18",18,48
"19",19,53
"20",20,52
"21",21,54
"22",22,52
"23",23,49
"24",24,45
"25",25,47
"26",26,49
"27",27,50
"28",28,50
"29",29,50
"30",30,50
"31",31,47
"32",32,54
"33",33,54
"34",34,47
"35",35,50
"36",36,54
"37",37,51
"38",38,50
"39",39,52
"40",40,51
"41",41,50
"42",42,51
"43",43,49
"44",44,53
"45",45,44
"46",46,51
"47",47,50
"48",48,53
"49",49,50
"50",50,47
"51",51,49
"52",52,47
"53",53,52
"54",54,48
"55",55,47
"56",56,48
"57",57,45
"58",58,51
"59",59,50
"60",60,54
"61",61,53
"62",62,56
"63",63,49
"64",64,47
"65",65,49
"66",66,53
"67",67,53
"68",68,55
"69",69,47
"70",70,52
"71",71,45
"72",72,48
"73",73,46
"74",74,50
"75",75,49
"76",76,50
"77",77,50
"78",78,53
"79",79,50
"80",80,44
"81",81,52
"82",82,50
"83",83,52
"84",84,53
"85",85,48
"86",86,54
"87",87,50
"88",88,50
"89",89,43
"90",90,43
"91",91,48
"92",92,51
"93",93,46
"94",94,52
"95",95,50
"96",96,50
"97",97,46
"98",98,50
"99",99,48
"100",100,53
