index,value,facet,last,top5,bot5,thresholdGroup,peak,currentValue,slope,thresholdGroupCurrent
1,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
2,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
3,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
4,45,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
5,47,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
6,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
7,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
8,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
9,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
10,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
11,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
12,52,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
13,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
14,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
15,48,Machine 10,0,0,5,3,0,51,0.0131614738432816,3
16,53,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
17,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
18,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
19,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
20,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
21,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
22,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
23,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
24,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
25,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
26,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
27,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
28,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
29,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
30,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
31,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
32,47,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
33,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
34,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
35,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
36,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
37,52,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
38,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
39,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
40,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
41,47,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
42,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
43,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
44,47,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
45,52,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
46,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
47,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
48,45,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
49,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
50,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
51,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
52,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
53,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
54,47,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
55,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
56,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
57,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
58,56,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
59,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
60,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
61,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
62,52,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
63,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
64,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
65,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
66,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
67,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
68,53,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
69,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
70,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
71,47,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
72,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
73,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
74,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
75,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
76,52,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
77,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
78,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
79,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
80,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
81,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
82,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
83,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
84,53,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
85,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
86,55,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
87,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
88,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
89,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
90,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
91,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
92,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
93,53,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
94,53,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
95,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
96,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
97,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
98,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
99,53,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
100,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
101,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
102,52,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
103,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
104,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
105,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
106,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
107,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
108,46,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
109,48,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
110,47,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
111,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
112,49,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
113,50,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
114,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
115,53,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
116,52,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
117,54,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
118,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
119,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
120,55,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
121,52,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
122,55,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
123,45,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
124,51,Machine 10,0,0,0,3,0,51,0.0131614738432816,3
