index,rand,facet,last,top5,bot5,thresholdGroup,peak,currentValue,slope,thresholdGroupCurrent
1,53,Machine 1,0,0,0,3,0,51,-0.029359527090092843,3
2,50,Machine 1,0,0,0,3,0,51,-0.029359527090092843,3
3,63,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
4,59,Machine 1,0,0,0,3,0,51,-0.029359527090092843,3
5,55,Machine 1,0,0,0,3,0,51,-0.029359527090092843,3
6,57,Machine 1,0,0,0,3,0,51,-0.029359527090092843,3
7,59,Machine 1,0,0,0,3,0,51,-0.029359527090092843,3
8,68,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
9,63,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
10,61,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
11,66,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
12,68,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
13,73,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
14,66,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
15,74,Machine 1,0,2,0,4,0,51,-0.029359527090092843,3
16,77,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
17,75,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
18,74,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
19,77,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
20,79,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
21,88,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
22,90,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
23,89,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
24,91,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
25,87,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
26,89,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
27,86,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
28,95,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
29,87,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
30,88,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
31,85,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
32,86,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
33,84,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
34,80,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
35,87,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
36,88,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
37,86,Machine 1,0,0,0,5,0,51,-0.029359527090092843,3
38,79,Machine 1,0,0,0,4,0,51,-0.029359527090092843,3
