index,value
1,50
2,52
3,50
4,50
5,52
6,53
7,50
8,52
9,55
10,54
11,55
12,54
13,54
14,53
15,56
16,55
17,58
18,60
19,59
20,58
21,58
22,58
23,57
24,56
25,53
26,54
27,57
28,60
29,59
30,56
31,55
32,55
33,57
34,60
35,57
36,60
37,59
38,57
39,60
40,58
41,61
42,60
43,61
44,61
45,59
46,61
47,61
48,63
49,61
50,58
51,61
52,64
53,64
54,66
55,63
56,66
57,66
58,67
59,70
60,67
61,69
62,67
63,66
64,64
65,65
66,65
67,65
68,62
69,59
70,60
71,61
72,64
73,62
74,60
75,58
76,57
77,57
78,59
79,58
80,61
81,62
82,64
83,63
84,65
85,63
86,66
87,67
88,64
89,64
90,66
91,67
92,65
93,66
94,68
95,65
96,65
97,65
98,64
99,67
100,69
101,66
102,67
103,67
104,69
105,68
106,70
107,67
108,69
109,72
110,69
111,69
112,68
113,70
114,70
115,71
116,74
117,73
118,73
119,72
120,72
121,72
122,74
123,77
124,74
125,74
126,75
127,77
128,76
129,73
130,72
131,69
132,69
133,69
134,66
135,63
136,60
137,57
138,59
139,60
140,63
141,66
142,64
143,62
144,64
145,66
146,66
147,64
148,61
149,64
150,62
151,62
152,61
153,62
154,60
155,58
156,58
157,56
158,58
159,60
160,59
161,56
162,59
163,56
164,55
165,55
166,57
167,54
168,54
169,53
170,55
171,54
172,54
173,55
174,58
175,59
176,56
177,55
178,57
179,54
180,51
181,49
182,51
183,51
184,54
185,51
186,48
187,51
188,50
189,47
190,48
191,49
192,52
193,49
194,51
195,48
196,50
197,47
198,49
199,47
200,48
