"","index","value"
"1",1,51
"2",2,45
"3",3,51
"4",4,51
"5",5,52
"6",6,50
"7",7,49
"8",8,50
"9",9,48
"10",10,46
"11",11,47
"12",12,51
"13",13,49
"14",14,49
"15",15,49
"16",16,52
"17",17,49
"18",18,49
"19",19,52
"20",20,54
"21",21,49
"22",22,50
"23",23,49
"24",24,51
"25",25,44
"26",26,49
"27",27,45
"28",28,53
"29",29,51
"30",30,52
"31",31,54
"32",32,49
"33",33,49
"34",34,48
"35",35,45
"36",36,49
"37",37,49
"38",38,52
"39",39,49
"40",40,50
"41",41,53
"42",42,48
"43",43,48
"44",44,49
"45",45,48
"46",46,49
"47",47,48
"48",48,54
"49",49,52
"50",50,45
"51",51,51
"52",52,46
"53",53,49
"54",54,45
"55",55,51
"56",56,52
"57",57,49
"58",58,49
"59",59,47
"60",60,53
"61",61,48
"62",62,50
"63",63,49
"64",64,49
"65",65,51
"66",66,49
"67",67,46
"68",68,50
"69",69,52
"70",70,48
"71",71,51
"72",72,53
"73",73,50
"74",74,51
"75",75,46
"76",76,50
"77",77,46
"78",78,52
"79",79,48
"80",80,52
"81",81,46
"82",82,52
"83",83,52
"84",84,47
"85",85,52
"86",86,48
"87",87,52
"88",88,47
"89",89,45
"90",90,48
"91",91,51
"92",92,53
"93",93,55
"94",94,51
"95",95,52
"96",96,51
"97",97,46
"98",98,47
"99",99,49
"100",100,49
