"","index","value"
"1",1,52
"2",2,53
"3",3,57
"4",4,50
"5",5,55
"6",6,50
"7",7,53
"8",8,54
"9",9,53
"10",10,55
"11",11,54
"12",12,65
"13",13,56
"14",14,60
"15",15,72
"16",16,67
"17",17,62
"18",18,60
"19",19,66
"20",20,65
"21",21,61
"22",22,67
"23",23,67
"24",24,66
"25",25,64
"26",26,66
"27",27,70
"28",28,70
"29",29,72
"30",30,65
"31",31,67
"32",32,74
"33",33,75
"34",34,71
"35",35,68
"36",36,81
"37",37,75
"38",38,78
"39",39,74
"40",40,76
"41",41,78
"42",42,78
"43",43,82
"44",44,77
"45",45,80
"46",46,81
"47",47,82
"48",48,80
"49",49,83
"50",50,87
"51",51,85
"52",52,83
"53",53,83
"54",54,80
"55",55,84
"56",56,78
"57",57,84
"58",58,79
"59",59,81
"60",60,82
"61",61,85
"62",62,80
"63",63,78
"64",64,79
"65",65,81
"66",66,78
"67",67,82
"68",68,75
"69",69,78
"70",70,78
"71",71,83
"72",72,79
"73",73,76
"74",74,74
"75",75,74
"76",76,70
"77",77,77
"78",78,76
"79",79,73
"80",80,74
"81",81,75
"82",82,73
"83",83,73
"84",84,73
"85",85,74
"86",86,73
"87",87,73
"88",88,70
"89",89,73
"90",90,71
"91",91,73
"92",92,71
"93",93,66
"94",94,73
"95",95,64
"96",96,68
"97",97,67
"98",98,65
"99",99,67
"100",100,64
