index,value
1,50
2,50
3,49
4,50
5,50
6,50
7,52
8,52
9,53
10,54
11,52
12,51
13,50
14,48
15,48
16,48
17,50
18,52
19,52
20,52
21,53
22,51
23,49
24,48
25,47
26,48
27,49
28,51
29,53
30,53
31,54
32,52
33,54
34,52
35,52
36,51
37,53
38,54
39,52
40,53
41,52
42,53
43,52
44,52
45,50
46,52
47,54
48,55
49,54
50,53
51,51
52,52
53,52
54,50
55,49
56,49
57,49
58,49
59,48
60,47
61,49
62,51
63,49
64,51
65,53
66,53
67,53
68,55
69,57
70,58
71,57
72,56
73,58
74,60
75,60
76,58
77,60
78,58
79,60
80,59
81,59
82,60
83,58
84,57
85,55
86,53
87,52
88,53
89,52
90,50
91,49
92,51
93,51
94,51
95,52
96,52
97,50
98,49
99,49
100,51
101,51
102,49
103,48
104,50
105,49
106,51
107,51
108,49
109,49
110,49
111,48
112,47
113,47
114,48
115,47
116,48
117,47
118,45
119,44
120,42
121,42
122,40
123,38
124,36
125,35
126,33
127,31
128,31
129,30
130,29
131,31
132,30
133,29
134,28
135,30
136,32
137,32
138,33
139,35
140,37
141,36
142,38
143,40
144,39
145,39
146,39
147,38
148,38
149,36
150,38
151,39
152,41
153,40
154,42
155,43
156,43
157,41
158,43
159,42
160,41
161,43
162,41
163,41
164,40
165,41
166,42
167,43
168,43
169,42
170,43
171,42
172,43
173,42
174,42
175,42
176,44
177,44
178,45
179,46
180,44
181,45
182,47
183,49
184,48
185,48
186,47
187,49
188,51
189,49
190,51
191,50
192,51
193,50
194,48
195,49
196,49
197,48
198,47
199,45
200,43
