index,rand,facet,last,top5,bot5,thresholdGroup,peak,currentValue,slope,thresholdGroupCurrent
1,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
2,52,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
3,51,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
4,54,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
5,50,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
6,55,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
7,47,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
8,46,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
9,47,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
10,51,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
11,51,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
12,51,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
13,48,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
14,50,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
15,52,Machine 4,0,4,0,3,0,54,-0.0022187652784570275,3
16,48,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
17,52,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
18,55,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
19,55,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
20,50,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
21,53,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
22,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
23,46,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
24,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
25,47,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
26,47,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
27,54,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
28,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
29,46,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
30,45,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
31,46,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
32,51,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
33,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
34,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
35,47,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
36,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
37,47,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
38,53,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
39,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
40,47,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
41,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
42,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
43,50,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
44,53,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
45,54,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
46,52,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
47,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
48,53,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
49,54,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
50,54,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
51,50,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
52,51,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
53,52,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
54,54,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
55,48,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
56,48,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
57,51,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
58,49,Machine 4,0,0,0,3,0,54,-0.0022187652784570275,3
