"","index","value"
"1",1,53
"2",2,50
"3",3,54
"4",4,49
"5",5,46
"6",6,50
"7",7,50
"8",8,46
"9",9,52
"10",10,52
"11",11,43
"12",12,50
"13",13,51
"14",14,47
"15",15,48
"16",16,51
"17",17,53
"18",18,52
"19",19,51
"20",20,49
"21",21,48
"22",22,50
"23",23,49
"24",24,50
"25",25,51
"26",26,51
"27",27,46
"28",28,47
"29",29,49
"30",30,55
"31",31,52
"32",32,46
"33",33,55
"34",34,47
"35",35,51
"36",36,51
"37",37,44
"38",38,48
"39",39,50
"40",40,54
"41",41,51
"42",42,47
"43",43,49
"44",44,49
"45",45,52
"46",46,53
"47",47,48
"48",48,46
"49",49,53
"50",50,51
"51",51,49
"52",52,47
"53",53,54
"54",54,52
"55",55,51
"56",56,52
"57",57,48
"58",58,53
"59",59,49
"60",60,48
"61",61,51
"62",62,45
"63",63,52
"64",64,49
"65",65,50
"66",66,49
"67",67,51
"68",68,46
"69",69,47
"70",70,53
"71",71,53
"72",72,52
"73",73,53
"74",74,51
"75",75,52
"76",76,46
"77",77,51
"78",78,52
"79",79,50
"80",80,49
"81",81,52
"82",82,51
"83",83,47
"84",84,51
"85",85,49
"86",86,50
"87",87,49
"88",88,53
"89",89,48
"90",90,52
"91",91,56
"92",92,48
"93",93,48
"94",94,52
"95",95,51
"96",96,48
"97",97,51
"98",98,51
"99",99,48
"100",100,45
