"","index","value"
"1",1,51
"2",2,52
"3",3,51
"4",4,51
"5",5,49
"6",6,46
"7",7,50
"8",8,50
"9",9,50
"10",10,48
"11",11,51
"12",12,52
"13",13,52
"14",14,48
"15",15,51
"16",16,50
"17",17,51
"18",18,49
"19",19,51
"20",20,48
"21",21,50
"22",22,50
"23",23,51
"24",24,43
"25",25,51
"26",26,49
"27",27,54
"28",28,47
"29",29,51
"30",30,51
"31",31,51
"32",32,48
"33",33,49
"34",34,49
"35",35,49
"36",36,49
"37",37,47
"38",38,52
"39",39,52
"40",40,48
"41",41,49
"42",42,45
"43",43,47
"44",44,53
"45",45,49
"46",46,51
"47",47,46
"48",48,52
"49",49,51
"50",50,50
"51",51,53
"52",52,52
"53",53,51
"54",54,45
"55",55,51
"56",56,52
"57",57,47
"58",58,53
"59",59,47
"60",60,47
"61",61,50
"62",62,51
"63",63,51
"64",64,52
"65",65,48
"66",66,57
"67",67,54
"68",68,53
"69",69,50
"70",70,52
"71",71,53
"72",72,52
"73",73,50
"74",74,47
"75",75,47
"76",76,52
"77",77,51
"78",78,50
"79",79,50
"80",80,55
"81",81,52
"82",82,51
"83",83,49
"84",84,53
"85",85,48
"86",86,46
"87",87,53
"88",88,46
"89",89,52
"90",90,51
"91",91,52
"92",92,46
"93",93,49
"94",94,52
"95",95,50
"96",96,52
"97",97,49
"98",98,46
"99",99,50
"100",100,46
