"","index","value"
"1",1,52
"2",2,49
"3",3,52
"4",4,46
"5",5,48
"6",6,47
"7",7,53
"8",8,50
"9",9,49
"10",10,53
"11",11,53
"12",12,50
"13",13,48
"14",14,49
"15",15,71
"16",16,52
"17",17,49
"18",18,52
"19",19,47
"20",20,48
"21",21,51
"22",22,49
"23",23,52
"24",24,51
"25",25,46
"26",26,49
"27",27,49
"28",28,55
"29",29,48
"30",30,53
"31",31,50
"32",32,53
"33",33,48
"34",34,50
"35",35,49
"36",36,46
"37",37,54
"38",38,51
"39",39,50
"40",40,48
"41",41,49
"42",42,47
"43",43,47
"44",44,51
"45",45,50
"46",46,51
"47",47,47
"48",48,49
"49",49,47
"50",50,57
"51",51,55
"52",52,52
"53",53,51
"54",54,52
"55",55,49
"56",56,50
"57",57,51
"58",58,50
"59",59,50
"60",60,49
"61",61,53
"62",62,49
"63",63,49
"64",64,44
"65",65,49
"66",66,52
"67",67,48
"68",68,51
"69",69,48
"70",70,48
"71",71,50
"72",72,52
"73",73,47
"74",74,53
"75",75,52
"76",76,48
"77",77,50
"78",78,50
"79",79,51
"80",80,49
"81",81,51
"82",82,49
"83",83,54
"84",84,49
"85",85,49
"86",86,51
"87",87,47
"88",88,56
"89",89,47
"90",90,46
"91",91,53
"92",92,46
"93",93,56
"94",94,52
"95",95,50
"96",96,53
"97",97,52
"98",98,46
"99",99,55
"100",100,52
