"","index","value"
"1",1,51
"2",2,53
"3",3,51
"4",4,51
"5",5,49
"6",6,45
"7",7,54
"8",8,48
"9",9,50
"10",10,49
"11",11,51
"12",12,46
"13",13,45
"14",14,48
"15",15,26
"16",16,44
"17",17,44
"18",18,38
"19",19,46
"20",20,39
"21",21,42
"22",22,46
"23",23,41
"24",24,41
"25",25,39
"26",26,38
"27",27,41
"28",28,38
"29",29,42
"30",30,36
"31",31,39
"32",32,36
"33",33,36
"34",34,35
"35",35,37
"36",36,33
"37",37,38
"38",38,37
"39",39,32
"40",40,31
"41",41,35
"42",42,31
"43",43,33
"44",44,32
"45",45,31
"46",46,29
"47",47,35
"48",48,30
"49",49,29
"50",50,31
"51",51,29
"52",52,28
"53",53,30
"54",54,29
"55",55,25
"56",56,29
"57",57,29
"58",58,25
"59",59,27
"60",60,24
"61",61,25
"62",62,28
"63",63,23
"64",64,26
"65",65,27
"66",66,22
"67",67,20
"68",68,21
"69",69,25
"70",70,25
"71",71,21
"72",72,23
"73",73,21
"74",74,23
"75",75,20
"76",76,19
"77",77,20
"78",78,20
"79",79,19
"80",80,18
"81",81,20
"82",82,20
"83",83,18
"84",84,15
"85",85,13
"86",86,18
"87",87,15
"88",88,14
"89",89,17
"90",90,16
"91",91,13
"92",92,15
"93",93,10
"94",94,13
"95",95,10
"96",96,10
"97",97,14
"98",98,12
"99",99,14
"100",100,0
