"","index","value"
"1",1,53
"2",2,55
"3",3,47
"4",4,46
"5",5,50
"6",6,48
"7",7,48
"8",8,47
"9",9,45
"10",10,42
"11",11,50
"12",12,45
"13",13,46
"14",14,50
"15",15,29
"16",16,44
"17",17,41
"18",18,46
"19",19,42
"20",20,45
"21",21,40
"22",22,38
"23",23,38
"24",24,39
"25",25,40
"26",26,37
"27",27,41
"28",28,40
"29",29,41
"30",30,40
"31",31,36
"32",32,38
"33",33,35
"34",34,38
"35",35,32
"36",36,38
"37",37,39
"38",38,34
"39",39,37
"40",40,31
"41",41,33
"42",42,33
"43",43,35
"44",44,29
"45",45,34
"46",46,29
"47",47,32
"48",48,31
"49",49,29
"50",50,28
"51",51,31
"52",52,32
"53",53,27
"54",54,28
"55",55,28
"56",56,30
"57",57,24
"58",58,31
"59",59,25
"60",60,23
"61",61,26
"62",62,26
"63",63,24
"64",64,26
"65",65,20
"66",66,25
"67",67,23
"68",68,23
"69",69,19
"70",70,26
"71",71,21
"72",72,19
"73",73,22
"74",74,23
"75",75,15
"76",76,20
"77",77,24
"78",78,19
"79",79,20
"80",80,21
"81",81,17
"82",82,20
"83",83,15
"84",84,14
"85",85,15
"86",86,14
"87",87,16
"88",88,19
"89",89,17
"90",90,13
"91",91,18
"92",92,16
"93",93,12
"94",94,11
"95",95,15
"96",96,14
"97",97,14
"98",98,7
"99",99,15
"100",100,11
