"","index","value"
"1",1,49
"2",2,49
"3",3,52
"4",4,54
"5",5,51
"6",6,47
"7",7,56
"8",8,55
"9",9,55
"10",10,53
"11",11,56
"12",12,55
"13",13,54
"14",14,61
"15",15,75
"16",16,58
"17",17,60
"18",18,65
"19",19,68
"20",20,62
"21",21,63
"22",22,62
"23",23,69
"24",24,68
"25",25,66
"26",26,64
"27",27,75
"28",28,70
"29",29,71
"30",30,70
"31",31,71
"32",32,74
"33",33,69
"34",34,74
"35",35,75
"36",36,77
"37",37,72
"38",38,79
"39",39,77
"40",40,76
"41",41,82
"42",42,81
"43",43,75
"44",44,79
"45",45,83
"46",46,82
"47",47,81
"48",48,85
"49",49,85
"50",50,82
"51",51,83
"52",52,81
"53",53,88
"54",54,82
"55",55,83
"56",56,80
"57",57,83
"58",58,84
"59",59,79
"60",60,75
"61",61,79
"62",62,79
"63",63,77
"64",64,80
"65",65,74
"66",66,74
"67",67,75
"68",68,76
"69",69,71
"70",70,75
"71",71,72
"72",72,73
"73",73,73
"74",74,71
"75",75,66
"76",76,70
"77",77,62
"78",78,69
"79",79,67
"80",80,67
"81",81,68
"82",82,62
"83",83,64
"84",84,64
"85",85,59
"86",86,66
"87",87,64
"88",88,58
"89",89,59
"90",90,62
"91",91,60
"92",92,54
"93",93,52
"94",94,56
"95",95,54
"96",96,54
"97",97,49
"98",98,56
"99",99,53
"100",100,49
